IDnum,Buy,Income,Sex,Mailed,Age,Marital Status,Occupation,Education Level,Geographic Location,Online Behavior,Device Usage,Social Media Activity,Loyalty Program Membership,Previous Interactions with Ads,Shopping Preferences,Life Events,Frequency of Purchase,Average Transaction Value,Product Preferences
458,Yes,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Moving,Frequent,10-49,Health & Beauty
1209,Yes,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,High,Tablet,Medium,Non-Member,Ignored,In-store,None,Frequent,50-99,Grocery
2478,Yes,140k-159k,Female,No,55-64,Married,Blue-Collar,Graduate,Suburban,Low,Desktop,High,Member,Ignored,Online,None,Rare,450-500,Clothing
2703,Yes,180k-200k,Female,Yes,55-64,Single,Blue-Collar,Graduate,Rural,High,Desktop,Medium,Member,Ignored,Online,Childbirth,Frequent,250-299,Health & Beauty
3681,Yes,160k-179k,Female,No,55-64,Married,Blue-Collar,Bachelor,Rural,High,Tablet,Medium,Member,Not Shown,Online,Childbirth,Occasional,200-249,Home & Garden
4342,Yes,100k-119k,Male,Yes,55-64,Single,Blue-Collar,Bachelor,Urban,Low,Desktop,Low,Member,Not Shown,Online,Childbirth,Rare,150-199,Home & Garden
3271,Yes,120k-139k,Female,Yes,45-54,Married,Blue-Collar,Bachelor,Rural,High,Desktop,Low,Non-Member,Not Shown,In-store,Childbirth,Frequent,400-449,Home & Garden
612,Yes,120k-139k,Female,Yes,55-64,Married,White-Collar,Graduate,Urban,High,Tablet,Low,Member,Ignored,Online,None,Rare,350-399,Clothing
362,No,140k-159k,Female,No,35-44,Single,Blue-Collar,Graduate,Suburban,Low,Desktop,High,Member,Clicked,In-store,Moving,Frequent,350-399,Home & Garden
4494,No,80k-99k,Female,No,35-44,Married,Blue-Collar,Graduate,Urban,High,Tablet,Medium,Member,Clicked,Online,Childbirth,Rare,350-399,Clothing
257,Yes,180k-200k,Female,Yes,45-54,Married,Blue-Collar,Bachelor,Suburban,Low,Desktop,Low,Member,Not Shown,In-store,Marriage,Frequent,250-299,Grocery
3103,Yes,100k-119k,Female,Yes,55-64,Single,Blue-Collar,Bachelor,Urban,Medium,Tablet,High,Member,Clicked,Online,Childbirth,Occasional,350-399,Grocery
1486,Yes,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Urban,High,Desktop,Low,Non-Member,Clicked,In-store,None,Frequent,10-49,Health & Beauty
1803,No,120k-139k,Female,No,55-64,Single,Blue-Collar,Graduate,Suburban,High,Desktop,Low,Member,Clicked,Online,Moving,Frequent,250-299,Home & Garden
4255,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Ignored,In-store,Marriage,Occasional,10-49,Grocery
3509,No,160k-179k,Female,No,45-54,Single,White-Collar,Graduate,Urban,Medium,Tablet,High,Non-Member,Not Shown,Online,Moving,Frequent,200-249,Health & Beauty
3993,No,140k-159k,Female,No,35-44,Married,White-Collar,Bachelor,Suburban,Low,Tablet,High,Member,Clicked,Online,Marriage,Frequent,450-500,Health & Beauty
316,No,100k-119k,Male,Yes,45-54,Married,White-Collar,Graduate,Suburban,Low,Desktop,Medium,Non-Member,Clicked,Online,None,Frequent,350-399,Clothing
1953,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Low,Desktop,Medium,Non-Member,Clicked,In-store,None,Frequent,50-99,Clothing
193,No,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,High,Desktop,Medium,Non-Member,Not Shown,In-store,Moving,Rare,10-49,Health & Beauty
1086,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Medium,Mobile,Medium,Non-Member,Clicked,In-store,Marriage,Frequent,10-49,Clothing
456,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Medium,Desktop,High,Non-Member,Not Shown,In-store,Childbirth,Rare,50-99,Clothing
3393,No,140k-159k,Male,No,35-44,Married,White-Collar,Graduate,Suburban,High,Tablet,High,Non-Member,Ignored,Online,Childbirth,Occasional,300-349,Clothing
1996,No,160k-179k,Male,No,35-44,Married,Blue-Collar,Graduate,Rural,High,Mobile,Medium,Non-Member,Not Shown,Online,Childbirth,Frequent,150-199,Home & Garden
339,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Desktop,Medium,Non-Member,Ignored,In-store,None,Frequent,10-49,Health & Beauty
1126,Yes,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Medium,Mobile,Low,Non-Member,Not Shown,In-store,Childbirth,Rare,10-49,Home & Garden
3672,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Urban,High,Desktop,Low,Non-Member,Clicked,In-store,Moving,Occasional,10-49,Clothing
2833,Yes,100k-119k,Male,No,55-64,Married,Blue-Collar,Graduate,Rural,Low,Desktop,Low,Non-Member,Clicked,Online,Marriage,Frequent,350-399,Clothing
4908,Yes,160k-179k,Male,Yes,45-54,Single,White-Collar,Bachelor,Rural,High,Mobile,Low,Non-Member,Not Shown,Online,Moving,Occasional,400-449,Grocery
4013,Yes,100k-119k,Female,No,55-64,Married,Blue-Collar,Graduate,Urban,Low,Mobile,Low,Non-Member,Ignored,Online,Marriage,Rare,450-500,Grocery
67,Yes,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Rural,Medium,Tablet,High,Non-Member,Clicked,In-store,None,Frequent,10-49,Health & Beauty
4785,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Mobile,Low,Non-Member,Not Shown,In-store,Childbirth,Occasional,50-99,Electronics
3082,Yes,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Desktop,Medium,Non-Member,Clicked,In-store,Marriage,Occasional,10-49,Clothing
1081,No,80k-99k,Female,No,55-64,Married,Blue-Collar,Graduate,Rural,Medium,Desktop,Low,Member,Not Shown,In-store,None,Occasional,150-199,Electronics
1715,No,160k-179k,Female,No,55-64,Married,Blue-Collar,Bachelor,Urban,Low,Desktop,Medium,Member,Clicked,Online,None,Frequent,300-349,Health & Beauty
1235,Yes,120k-139k,Male,Yes,45-54,Married,Blue-Collar,Graduate,Suburban,Medium,Mobile,Medium,Member,Ignored,In-store,Marriage,Frequent,350-399,Electronics
4402,No,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,Medium,Tablet,Medium,Non-Member,Not Shown,In-store,Moving,Frequent,50-99,Grocery
608,Yes,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,High,Tablet,Medium,Non-Member,Ignored,In-store,None,Occasional,50-99,Grocery
3891,No,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Medium,Mobile,Low,Non-Member,Ignored,In-store,Childbirth,Frequent,50-99,Home & Garden
3982,Yes,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Low,Tablet,Medium,Non-Member,Not Shown,In-store,None,Occasional,50-99,Home & Garden
2792,No,180k-200k,Male,No,35-44,Married,White-Collar,Graduate,Suburban,Medium,Mobile,Medium,Non-Member,Ignored,Online,None,Frequent,200-249,Grocery
4447,Yes,120k-139k,Female,Yes,35-44,Single,White-Collar,Graduate,Rural,Medium,Tablet,Low,Member,Ignored,Online,Moving,Occasional,300-349,Clothing
504,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Childbirth,Frequent,10-49,Health & Beauty
1712,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Low,Desktop,Low,Non-Member,Ignored,In-store,Marriage,Rare,50-99,Grocery
4786,No,140k-159k,Female,No,55-64,Married,White-Collar,Graduate,Suburban,Low,Desktop,High,Non-Member,Ignored,Online,None,Rare,150-199,Clothing
3242,No,100k-119k,Male,No,45-54,Married,White-Collar,Bachelor,Rural,Low,Desktop,High,Member,Not Shown,Online,Moving,Frequent,250-299,Home & Garden
2631,Yes,180k-200k,Male,Yes,45-54,Married,Blue-Collar,Bachelor,Urban,Low,Desktop,Medium,Member,Ignored,Online,Childbirth,Rare,200-249,Electronics
3128,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Medium,Mobile,High,Non-Member,Clicked,In-store,Childbirth,Frequent,10-49,Health & Beauty
2814,Yes,140k-159k,Female,Yes,55-64,Married,Blue-Collar,Bachelor,Suburban,Low,Desktop,Low,Member,Ignored,Online,Moving,Occasional,450-500,Grocery
4961,Yes,100k-119k,Male,Yes,55-64,Married,White-Collar,Bachelor,Rural,Low,Desktop,High,Member,Not Shown,In-store,Childbirth,Frequent,100-149,Clothing
3221,Yes,120k-139k,Female,Yes,45-54,Married,Blue-Collar,Graduate,Rural,Low,Mobile,Low,Non-Member,Clicked,In-store,Moving,Rare,150-199,Electronics
4065,No,180k-200k,Male,No,45-54,Single,White-Collar,Bachelor,Rural,High,Desktop,Medium,Member,Clicked,In-store,None,Occasional,100-149,Health & Beauty
3383,No,80k-99k,Female,No,35-44,Married,Blue-Collar,Graduate,Urban,Low,Mobile,Medium,Non-Member,Ignored,Online,Moving,Rare,400-449,Home & Garden
830,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Urban,Medium,Mobile,Medium,Non-Member,Not Shown,In-store,None,Frequent,10-49,Home & Garden
1860,Yes,100k-119k,Female,Yes,45-54,Married,White-Collar,Bachelor,Urban,Low,Tablet,Medium,Member,Ignored,Online,None,Rare,250-299,Clothing
563,No,120k-139k,Female,No,35-44,Single,White-Collar,Graduate,Rural,High,Desktop,Medium,Member,Ignored,Online,Childbirth,Frequent,400-449,Home & Garden
4254,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Mobile,Low,Non-Member,Ignored,In-store,Moving,Frequent,50-99,Home & Garden
3793,No,80k-99k,Male,No,55-64,Married,White-Collar,Graduate,Rural,Medium,Tablet,High,Member,Clicked,Online,Moving,Frequent,300-349,Home & Garden
1442,No,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Moving,Frequent,50-99,Electronics
4891,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,Medium,Mobile,Low,Non-Member,Clicked,In-store,Moving,Frequent,10-49,Electronics
4541,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Medium,Desktop,High,Non-Member,Not Shown,In-store,None,Rare,50-99,Clothing
1404,No,140k-159k,Female,No,35-44,Single,Blue-Collar,Graduate,Suburban,Low,Mobile,Low,Non-Member,Clicked,Online,None,Rare,150-199,Health & Beauty
4156,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Medium,Desktop,Medium,Non-Member,Ignored,In-store,Childbirth,Occasional,10-49,Home & Garden
4041,Yes,180k-200k,Female,Yes,45-54,Single,Blue-Collar,Graduate,Suburban,Low,Mobile,Medium,Non-Member,Not Shown,Online,Moving,Frequent,400-449,Grocery
829,Yes,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Low,Tablet,Medium,Non-Member,Not Shown,In-store,None,Rare,50-99,Electronics
3696,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,High,Tablet,Medium,Non-Member,Not Shown,In-store,Childbirth,Occasional,10-49,Health & Beauty
4162,Yes,140k-159k,Female,Yes,45-54,Married,Blue-Collar,Graduate,Suburban,High,Desktop,Low,Member,Not Shown,Online,Marriage,Occasional,400-449,Home & Garden
4697,Yes,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,Low,Tablet,High,Non-Member,Clicked,In-store,Moving,Rare,50-99,Grocery
3174,Yes,60k-79k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Clicked,In-store,None,Rare,50-99,Home & Garden
2874,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Medium,Desktop,Low,Non-Member,Clicked,In-store,None,Frequent,10-49,Clothing
905,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Urban,Low,Mobile,High,Non-Member,Ignored,In-store,Marriage,Rare,50-99,Clothing
2479,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Moving,Frequent,50-99,Home & Garden
3155,No,140k-159k,Male,No,55-64,Single,White-Collar,Bachelor,Suburban,High,Tablet,Medium,Member,Not Shown,Online,Childbirth,Occasional,400-449,Clothing
2889,No,100k-119k,Male,No,45-54,Married,Blue-Collar,Bachelor,Urban,Low,Tablet,High,Non-Member,Ignored,Online,Marriage,Frequent,350-399,Home & Garden
4627,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,Low,Non-Member,Not Shown,In-store,Childbirth,Frequent,10-49,Home & Garden
4745,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Rural,Low,Mobile,High,Non-Member,Ignored,In-store,Childbirth,Frequent,10-49,Health & Beauty
2718,No,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Rural,High,Desktop,Medium,Non-Member,Ignored,In-store,Childbirth,Frequent,10-49,Health & Beauty
1211,Yes,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Medium,Mobile,Low,Non-Member,Ignored,In-store,None,Occasional,50-99,Home & Garden
3725,No,120k-139k,Male,No,55-64,Married,Blue-Collar,Graduate,Rural,High,Mobile,Low,Non-Member,Not Shown,Online,Childbirth,Frequent,450-500,Grocery
2432,Yes,160k-179k,Female,Yes,45-54,Single,Blue-Collar,Bachelor,Rural,Low,Desktop,Medium,Member,Clicked,In-store,Moving,Frequent,300-349,Health & Beauty
3752,Yes,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Rural,High,Tablet,Low,Non-Member,Ignored,In-store,Moving,Occasional,50-99,Grocery
1920,No,160k-179k,Male,No,55-64,Married,Blue-Collar,Bachelor,Urban,Low,Desktop,Medium,Member,Clicked,Online,Moving,Occasional,200-249,Health & Beauty
2856,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Low,Desktop,High,Non-Member,Ignored,In-store,Childbirth,Rare,10-49,Health & Beauty
654,No,120k-139k,Female,No,45-54,Single,White-Collar,Bachelor,Rural,Medium,Mobile,Low,Member,Ignored,Online,Marriage,Rare,250-299,Health & Beauty
1988,Yes,120k-139k,Female,No,35-44,Married,Blue-Collar,Bachelor,Suburban,Medium,Desktop,Medium,Member,Ignored,Online,Moving,Occasional,200-249,Home & Garden
2498,No,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Suburban,Medium,Mobile,High,Non-Member,Not Shown,In-store,None,Rare,10-49,Home & Garden
3749,Yes,180k-200k,Male,No,45-54,Married,White-Collar,Bachelor,Rural,High,Tablet,Medium,Member,Ignored,Online,None,Rare,250-299,Electronics
924,Yes,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Medium,Desktop,High,Non-Member,Not Shown,In-store,Moving,Rare,10-49,Clothing
3066,Yes,100k-119k,Female,No,35-44,Single,White-Collar,Bachelor,Urban,High,Desktop,Medium,Member,Not Shown,Online,Moving,Rare,450-500,Clothing
1506,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,High,Mobile,High,Non-Member,Ignored,In-store,None,Frequent,10-49,Grocery
1025,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,Medium,Tablet,High,Non-Member,Clicked,In-store,None,Occasional,10-49,Health & Beauty
1019,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Moving,Frequent,10-49,Electronics
527,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,High,Desktop,Medium,Non-Member,Ignored,In-store,None,Rare,50-99,Electronics
1786,Yes,80k-99k,Male,Yes,45-54,Single,White-Collar,Graduate,Rural,High,Mobile,Medium,Non-Member,Ignored,Online,Moving,Rare,100-149,Home & Garden
3649,Yes,140k-159k,Male,Yes,35-44,Single,White-Collar,Graduate,Urban,Low,Mobile,Medium,Member,Clicked,Online,Marriage,Frequent,450-500,Electronics
119,No,140k-159k,Female,No,35-44,Married,White-Collar,Bachelor,Suburban,High,Tablet,Low,Member,Clicked,Online,Childbirth,Rare,200-249,Electronics
2076,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Low,Desktop,High,Non-Member,Not Shown,In-store,Childbirth,Occasional,10-49,Clothing
3217,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Tablet,High,Non-Member,Not Shown,In-store,None,Rare,50-99,Health & Beauty
230,Yes,100k-119k,Female,Yes,55-64,Single,White-Collar,Bachelor,Rural,Medium,Tablet,Low,Member,Not Shown,Online,None,Occasional,300-349,Health & Beauty
4401,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Medium,Tablet,High,Non-Member,Not Shown,In-store,Moving,Rare,10-49,Clothing
4120,No,100k-119k,Female,No,55-64,Single,White-Collar,Graduate,Suburban,High,Tablet,High,Member,Not Shown,Online,Moving,Rare,400-449,Grocery
1694,Yes,100k-119k,Female,Yes,55-64,Single,White-Collar,Bachelor,Urban,Medium,Desktop,Low,Member,Ignored,Online,None,Frequent,100-149,Grocery
781,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Medium,Tablet,Medium,Non-Member,Not Shown,In-store,None,Frequent,50-99,Health & Beauty
5,No,120k-139k,Female,No,45-54,Married,Blue-Collar,Graduate,Suburban,Medium,Tablet,High,Member,Ignored,Online,None,Frequent,450-500,Electronics
747,No,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Tablet,High,Non-Member,Not Shown,In-store,None,Frequent,10-49,Health & Beauty
1198,Yes,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Rural,Low,Tablet,Low,Non-Member,Ignored,In-store,Marriage,Rare,10-49,Home & Garden
4997,Yes,180k-200k,Female,Yes,45-54,Single,Blue-Collar,Bachelor,Rural,High,Mobile,Medium,Member,Ignored,Online,None,Occasional,300-349,Health & Beauty
1969,Yes,100k-119k,Male,No,55-64,Married,White-Collar,Bachelor,Suburban,Low,Mobile,Low,Member,Ignored,Online,Childbirth,Occasional,400-449,Health & Beauty
4450,Yes,140k-159k,Male,Yes,55-64,Married,Blue-Collar,Graduate,Rural,High,Tablet,Medium,Member,Not Shown,Online,Marriage,Occasional,100-149,Electronics
94,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Urban,High,Mobile,High,Non-Member,Not Shown,In-store,Marriage,Occasional,10-49,Clothing
3338,No,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,Medium,Desktop,Medium,Non-Member,Ignored,In-store,Marriage,Frequent,10-49,Home & Garden
288,Yes,40k-59k,Male,Yes,65+,Single,Blue-Collar,High School,Urban,High,Desktop,High,Non-Member,Ignored,In-store,Childbirth,Frequent,10-49,Home & Garden
1850,No,60k-79k,Male,No,65+,Single,Blue-Collar,High School,Urban,Low,Mobile,High,Non-Member,Clicked,In-store,Marriage,Frequent,10-49,Electronics
4507,Yes,80k-99k,Female,Yes,55-64,Married,White-Collar,Graduate,Suburban,Low,Tablet,Low,Non-Member,Not Shown,Online,None,Occasional,250-299,Home & Garden
4927,No,60k-79k,Male,Yes,25-34,Single,Blue-Collar,High School,Urban,High,Tablet,High,Non-Member,Ignored,In-store,Childbirth,Frequent,50-99,Electronics
3601,No,80k-99k,Male,No,45-54,Single,White-Collar,Bachelor,Rural,High,Mobile,Low,Member,Ignored,In-store,Moving,Rare,150-199,Electronics
1455,Yes,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,High,Non-Member,Clicked,In-store,Childbirth,Rare,50-99,Electronics
3367,No,160k-179k,Male,Yes,55-64,Married,Blue-Collar,Bachelor,Urban,Medium,Tablet,Low,Member,Ignored,Online,Moving,Occasional,350-399,Home & Garden
4600,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Rural,Medium,Tablet,High,Non-Member,Not Shown,In-store,Childbirth,Rare,50-99,Clothing
714,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Medium,Mobile,Medium,Non-Member,Ignored,In-store,Childbirth,Rare,50-99,Electronics
3759,Yes,60k-79k,Male,No,18-24,Single,Blue-Collar,High School,Rural,Medium,Mobile,Low,Non-Member,Not Shown,In-store,Childbirth,Rare,50-99,Home & Garden
42,No,140k-159k,Female,No,45-54,Married,Blue-Collar,Bachelor,Rural,High,Tablet,Medium,Member,Ignored,Online,Moving,Rare,400-449,Home & Garden
2428,No,20k-39k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Medium,Tablet,Low,Non-Member,Not Shown,In-store,Marriage,Occasional,10-49,Clothing
1968,No,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Suburban,High,Desktop,Low,Non-Member,Clicked,In-store,None,Occasional,50-99,Home & Garden
3176,Yes,80k-99k,Male,Yes,35-44,Married,Blue-Collar,Bachelor,Suburban,Low,Tablet,Medium,Member,Clicked,Online,Marriage,Frequent,150-199,Grocery
1679,No,80k-99k,Female,No,45-54,Single,White-Collar,Bachelor,Suburban,High,Desktop,High,Member,Clicked,Online,Moving,Rare,400-449,Health & Beauty
2513,Yes,120k-139k,Female,Yes,55-64,Single,White-Collar,Graduate,Rural,Low,Tablet,Low,Member,Clicked,In-store,Moving,Frequent,300-349,Electronics
2440,No,180k-200k,Male,No,55-64,Single,Blue-Collar,Bachelor,Suburban,Medium,Mobile,Low,Member,Not Shown,Online,Marriage,Rare,350-399,Home & Garden
4099,No,100k-119k,Female,No,45-54,Single,White-Collar,Bachelor,Rural,Low,Tablet,High,Member,Not Shown,Online,None,Frequent,300-349,Grocery
4300,No,40k-59k,Male,No,65+,Single,Blue-Collar,High School,Suburban,Medium,Desktop,Low,Non-Member,Not Shown,In-store,Marriage,Frequent,50-99,Home & Garden
4445,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Mobile,Medium,Non-Member,Ignored,In-store,None,Rare,50-99,Health & Beauty
204,Yes,20k-39k,Male,No,65+,Single,Blue-Collar,High School,Urban,High,Desktop,Medium,Non-Member,Clicked,In-store,Childbirth,Frequent,50-99,Electronics
1980,No,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,Low,Non-Member,Clicked,In-store,None,Rare,50-99,Health & Beauty
1793,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Rural,High,Mobile,High,Non-Member,Ignored,In-store,Marriage,Occasional,10-49,Grocery
637,Yes,20k-39k,Male,No,18-24,Single,Blue-Collar,High School,Rural,Low,Tablet,Low,Non-Member,Not Shown,In-store,None,Frequent,50-99,Clothing
2263,No,180k-200k,Male,No,55-64,Married,Blue-Collar,Graduate,Rural,Low,Mobile,Low,Member,Not Shown,Online,None,Frequent,150-199,Home & Garden
1820,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,Medium,Mobile,Low,Non-Member,Clicked,In-store,None,Occasional,50-99,Health & Beauty
1010,Yes,120k-139k,Female,Yes,55-64,Married,White-Collar,Graduate,Suburban,Low,Tablet,High,Member,Ignored,Online,Childbirth,Frequent,250-299,Grocery
3660,No,120k-139k,Female,No,35-44,Single,Blue-Collar,Bachelor,Suburban,High,Tablet,Medium,Non-Member,Not Shown,In-store,Moving,Occasional,300-349,Clothing
1617,No,80k-99k,Male,No,55-64,Married,White-Collar,Graduate,Urban,Low,Desktop,High,Member,Ignored,Online,None,Rare,300-349,Clothing
4429,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Low,Mobile,High,Non-Member,Not Shown,In-store,Marriage,Occasional,10-49,Clothing
3120,Yes,100k-119k,Female,Yes,45-54,Married,Blue-Collar,Bachelor,Rural,Medium,Tablet,High,Member,Clicked,In-store,None,Rare,200-249,Home & Garden
693,No,160k-179k,Female,No,45-54,Married,White-Collar,Bachelor,Rural,Low,Tablet,Low,Member,Ignored,Online,Marriage,Occasional,400-449,Grocery
81,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,Medium,Tablet,Medium,Non-Member,Clicked,In-store,Moving,Rare,50-99,Electronics
3119,No,180k-200k,Female,No,35-44,Married,Blue-Collar,Bachelor,Urban,Medium,Tablet,Medium,Non-Member,Ignored,Online,Marriage,Rare,450-500,Clothing
2959,No,20k-39k,Male,Yes,25-34,Single,Blue-Collar,High School,Rural,High,Desktop,Medium,Non-Member,Ignored,In-store,Childbirth,Occasional,50-99,Electronics
1091,No,140k-159k,Female,No,45-54,Single,Blue-Collar,Graduate,Suburban,Medium,Mobile,High,Non-Member,Not Shown,Online,None,Occasional,300-349,Home & Garden
3456,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Urban,Low,Desktop,Medium,Non-Member,Not Shown,In-store,Childbirth,Frequent,50-99,Health & Beauty
3443,No,160k-179k,Male,No,45-54,Married,White-Collar,Bachelor,Suburban,Low,Desktop,Low,Non-Member,Clicked,In-store,Childbirth,Frequent,200-249,Clothing
530,Yes,100k-119k,Female,Yes,35-44,Married,White-Collar,Graduate,Urban,Low,Tablet,Low,Member,Ignored,Online,Childbirth,Occasional,400-449,Electronics
3507,No,40k-59k,Male,Yes,18-24,Single,Blue-Collar,High School,Rural,High,Tablet,High,Non-Member,Not Shown,In-store,None,Frequent,50-99,Electronics
467,No,160k-179k,Female,No,45-54,Married,White-Collar,Graduate,Urban,High,Mobile,Medium,Member,Ignored,Online,None,Rare,100-149,Health & Beauty
2340,Yes,80k-99k,Female,Yes,35-44,Married,White-Collar,Bachelor,Rural,Low,Tablet,Medium,Non-Member,Ignored,Online,None,Frequent,450-500,Health & Beauty
4084,No,20k-39k,Male,Yes,18-24,Single,Blue-Collar,High School,Suburban,High,Desktop,High,Non-Member,Clicked,In-store,Childbirth,Rare,50-99,Health & Beauty
3058,No,80k-99k,Female,No,55-64,Married,Blue-Collar,Bachelor,Urban,Medium,Tablet,Medium,Non-Member,Not Shown,In-store,Moving,Frequent,300-349,Electronics
2929,No,40k-59k,Male,No,25-34,Single,Blue-Collar,High School,Rural,High,Tablet,Medium,Non-Member,Clicked,In-store,Marriage,Occasional,10-49,Clothing
3152,No,60k-79k,Male,Yes,18-24,Single,Blue-Collar,High School,Urban,Medium,Mobile,High,Non-Member,Not Shown,In-store,Childbirth,Occasional,50-99,Grocery
4826,No,40k-59k,Male,No,18-24,Single,Blue-Collar,High School,Urban,Medium,Desktop,High,Non-Member,Clicked,In-store,Moving,Occasional,50-99,Grocery
4457,No,60k-79k,Male,No,25-34,Single,Blue-Collar,High School,Suburban,Low,Desktop,Low,Non-Member,Clicked,In-store,Childbirth,Occasional,50-99,Clothing
2006,Yes,100k-119k,Male,Yes,35-44,Single,Blue-Collar,Bachelor,Urban,Medium,Tablet,Medium,Member,Not Shown,Online,Moving,Rare,250-299,Electronics
2609,Yes,40k-59k,Male,Yes,25-34,Single,Blue-Collar,High School,Suburban,Low,Tablet,Low,Non-Member,Clicked,In-store,Marriage,Occasional,10-49,Health & Beauty
1392,Yes,180k-200k,Female,No,45-54,Married,White-Collar,Bachelor,Urban,Medium,Mobile,Low,Member,Not Shown,In-store,Moving,Rare,250-299,Grocery
448,Yes,20k-39k,Male,Yes,65+,Single,Blue-Collar,High School,Rural,Low,Mobile,Low,Non-Member,Clicked,In-store,None,Occasional,50-99,Grocery
3822,No,140k-159k,Female,No,55-64,Married,White-Collar,Bachelor,Urban,Medium,Tablet,Medium,Non-Member,Ignored,In-store,Marriage,Rare,450-500,Electronics
